comercio,anio,mes,rubro_uso,valor
Importaciones,2022,06,Bienes intermedios (BI),3140596014.9
Importaciones,2022,06,Combustibles y lubricantes (CyL),2070265694.5
Importaciones,2022,06,Piezas y accesorios para bienes de capital (PyA),1378114555.3
Importaciones,2022,06,Bienes de consumo (BC),719594259.71
Importaciones,2022,06,Vehículos automotores de pasajeros (VA),191268592.73
Importaciones,2022,06,Resto,57363578.86
Importaciones,2022,07,Bienes de capital (BK),943164638.69
Importaciones,2022,07,Bienes intermedios (BI),2718594743.2
Importaciones,2022,07,Combustibles y lubricantes (CyL),2360589182
Importaciones,2022,07,Piezas y accesorios para bienes de capital (PyA),1301127976.3
Importaciones,2022,07,Bienes de consumo (BC),714852648.58
Importaciones,2022,07,Vehículos automotores de pasajeros (VA),199930742.18
Importaciones,2022,07,Resto,50869936.33
Importaciones,2022,08,Bienes de capital (BK),1158986606.6
Importaciones,2022,08,Bienes intermedios (BI),2973600077.6
Importaciones,2022,08,Combustibles y lubricantes (CyL),1336016172.6
Importaciones,2022,08,Piezas y accesorios para bienes de capital (PyA),1387076482.3
Importaciones,2022,08,Bienes de consumo (BC),763696672.98
Importaciones,2022,08,Vehículos automotores de pasajeros (VA),150923062.58
Importaciones,2022,08,Resto,66724395.91
Importaciones,2022,09,Bienes de capital (BK),1121352507.5
Importaciones,2022,09,Bienes intermedios (BI),2597151652.7
Importaciones,2022,09,Combustibles y lubricantes (CyL),934165462.64
Importaciones,2022,09,Piezas y accesorios para bienes de capital (PyA),1480669747.8
Importaciones,2022,09,Bienes de consumo (BC),753780057.09
Importaciones,2022,09,Vehículos automotores de pasajeros (VA),192641391.92
Importaciones,2022,09,Resto,57282857.5
Importaciones,2022,10,Bienes de capital (BK),996328865.03
Importaciones,2022,10,Bienes intermedios (BI),2333575417.9
Importaciones,2022,10,Combustibles y lubricantes (CyL),606563453.83
Importaciones,2022,10,Piezas y accesorios para bienes de capital (PyA),1231443437.1
Importaciones,2022,10,Bienes de consumo (BC),676186471.44
Importaciones,2022,10,Vehículos automotores de pasajeros (VA),202281120.69
Importaciones,2022,10,Resto,32637661.27
Importaciones,2022,11,Bienes de capital (BK),1071387393.8
Importaciones,2022,11,Bienes intermedios (BI),2083538409.2
Importaciones,2022,11,Combustibles y lubricantes (CyL),455423373.36
Importaciones,2022,11,Piezas y accesorios para bienes de capital (PyA),1290300319.6
Importaciones,2022,11,Bienes de consumo (BC),660930269.83
Importaciones,2022,11,Vehículos automotores de pasajeros (VA),161917555.12
Importaciones,2022,11,Resto,26119133.71
